RoutingNumber|TelegraphicName|CustomerName|City|State|ZipCode
011000015|Rb-Bos|Federal Reserve Bank of Boston|Boston|MA|
011000536|Hlb Boston|Federal Home Loan Bank|Boston|MA|
011001234|K of Nyc|The Bank of New York Mellon|New York|NY|
011001276|Neunited Bank|Oneunited Bank|Boston|MA|
011001438|Tate Street Bk|State Street Bank|Boston|MA|
011002550|Astern Bank Lynn|Eastern Bank|Boston|MA|
011002725|Ommerce Worcester|Commerce Bank & Trust Co.|Worcester|MA|
011002877|W Bk Smrino|East West Bank|Boston|MA|
011075150|Antander Bk|Santander Bank, N.A.|Wyomissing|PA|
011075202|Antander Bk|Santander Bank, N.A.|Boston|MA|
011100481|Cpc Windsor Locks|F.R.B. Boston Windsor Locks Rcpc|Windsor Locks|CT|
011101613|Ew Eng Bk Windsor|Webster Bank|Windsor|CT|
011102133|Ometown Cnb|Hometown Bank|Webster|MA|
011102502|Nion Savings|Union Savings Bank|Litchfield|CT|
011102667|Anaan Natl|Salisbury Bank & Trust Co.|Lakeville|CT|
011103093|D Bank, Na|Td Bank, Na|Glastonbury|CT|
011104322|St City N Britain|Webster Bank, N.A.|New Britain|CT|
011104351|Imsbury B&T|Simsbury Bank and Trust Co|Simsbury|CT|
011110617|Ankers Ne Glast|Bankers Bank Northeast|Glastonbury|CT|
011110633|Nited Coop Spfld|United Bank|W Springfield|MA|
011110646|Nited Coop Spfld|United Bank|W Springfield|MA|
011110659|Iberty Middletown|Liberty Bank|Middletown|CT|
011110675|O Amer Bk & Tr|Webster Bank, N.A.|Waterbury|CT|
011110701|Ebster Bank Ct|Webster Bank, N.A.|Waterbury|CT|
011110756|Tart Comm Bank|Start Community Bank|New Haven|CT|
011175212|T Community Bk Na|Connecticut Community Bank, N.A.|Westport|CT|
011200475|Angor Svgs Bk|Bangor Savings Bank|Biddeford|ME|
011200608|Ey Bank Maine|Keybank National Association|Portland|ME|
011201115|Ar Harbor Bk Tr|Bar Harbor Bank & Trust|Bar Harbor|ME|
011201306|Amden National Bk|Camden National Bank|Bangor|ME|
011201380|Amden Natl Me|Camden National Bank|Ellsworth|ME|
011201432|Eoples Bank|PeopleS United Bank, Na|Bridgeport|CT|
011201490|Amden Bk Me|Camden National Bank|Gardiner|ME|
011201500|Eoples Bank|PeopleS United Bank, Na|Bridgeport|CT|
011201526|Eoples Bank|PeopleS United Bank, Na|Bridgeport|CT|
011201759|Ar Harbor Bk Tr|Bar Harbor Bank & Trust|Bar Harbor|ME|
011201762|Irst Bar Harbor|First National Bank|Bar Harbor|ME|
011201830|Irst Damariscotta|First National Bank|Damariscotta|ME|
011202907|Amden Bk Me|Camden National Bank|Kennebunk|ME|
011202910|D Bank Usa, N.A.|Td Bank Usa, National Association|Portland|ME|
011301798|Astern Bank Lynn|Eastern Bank|Boston|MA|
011301992|Ankfive|Bankfive|New Bedford|MA|
011302221|Roadway Chelsea|Td Banknorth Mass|Chelsea|MA|
011302603|Orthmark N Andovr|The Northmark Bk|North Andover|MA|
011302616|Eoples Bank|PeopleS United Bank, Na|Bridgeport|CT|
011302768|Eoples Bank|PeopleS United Bank, Na|Bridgeport|CT|
011303123|D Banknorth Mass|Td Banknorth Mass|Seabrook|NH|
011304711|Irst Ipswich|First Ipswich Bank|Ipswich|MA|
011305260|Fs Newburyport|Institution for Savings|Newburyport|MA|
011305684|Ockland Trust|Rockland Trust Company|Rockland|MA|
011305749|Ape Tr Hyannis|Banknorth, N.A.|South Yarmouth|MA|
011306971|Ockland Trust|Rockland Trust Company|Rockland|MA|
011307077|Astern Bank Lynn|Eastern Bank|Newton|MA|
011307080|Orizon Bk & Tr Co|Horizon Bank and Trust|Braintree|MA|
011307116|Nited Springfield|United Bank|Worcester|MA|
011307129|Eader Bk Arlingtn|The Leader Bank|Arlington|MA|
011307213|Irst Commons Bank|First Commons Bank, Na|Newton Center|MA|
011375164|Rookline Bank|Brookline Bank|Brookline Village|MA|
011375245|Overeign Bk Ne|Sovereign Bank New England|Dorchester|MA|
011375384|Vidia Bank|Avidia Bank|Hudson|MA|
011400071|D Bank, Na|Td Bank, Na|Manchester|NH|
011400149|T Marys Manchestr|St Marys Bank|Manchester|NH|
011401533|Itizens Nh|Citizens Bank New Hampshire|W.Lebanon|NH|
011401850|K of New England|Bank of New England|Salem|NH|
011401928|Errimack County|Merrimack County Savings Bk|Concord|NH|
011401960|Eoples Bank|PeopleS United Bank, Na|Bridgeport|CT|
011402024|Astern Bank Lynn|Eastern Bank|Boston|MA|
011402053|Ampshire First Bk|Nbt National Association|Manchester|NH|
011402066|Ake Sunapee Bank|Lake Sunapee Bank|Newport|NH|
011402079|Ptima Bank|Optima Bank & Trust|Portsmouth|NH|
011500120|Itizens Bank, Na|Citizens Bank, National Association|Providence|RI|
011500913|Ent W Warwick|Centreville Bank|West Warwick|RI|
011501598|Illimantic Svg Ct|The Savings Institute|Willimantic|CT|
011501682|K Ri Providence|Bank of Rhode Island|Providence|RI|
011501705|Reedom Natl Bank|Freedom National Bank|Greenville|RI|
011501718|Ndependence Bank|Independence Bank|East Greenwich|RI|
