CompanyName|CreatedDate
3Com Corp|2019-06-23
3M Company A.G. Edwards Inc. |2019-06-23
Abbott Laboratories|2019-06-23
Abercrombie & Fitch Co.|2019-06-23
ABM Industries Incorporated|2019-06-23
Ace Hardware Corporation|2019-06-23
ACT Manufacturing Inc.|2019-06-23
Acterna Corp.|2019-06-23
Adams Resources & Energy, Inc.|2019-06-23
ADC Telecommunications, Inc.|2019-06-23
Adelphia Communications Corporation|2019-06-23
Administaff, Inc.|2019-06-23
Adobe Systems Incorporated|2019-06-23
Adolph Coors Company|2019-06-23
Advance Auto Parts, Inc.|2019-06-23
Advanced Micro Devices, Inc.|2019-06-23
AdvancePCS, Inc.|2019-06-23
Advantica Restaurant Group, Inc.|2019-06-23
The AES Corporation|2019-06-23
Aetna Inc.|2019-06-23
Affiliated Computer Services, Inc.|2019-06-23
AFLAC Incorporated|2019-06-23
AGCO Corporation|2019-06-23
Agilent Technologies, Inc.|2019-06-23
Agway Inc.|2019-06-23
Apartment Investment and Management Company|2019-06-23
Air Products and Chemicals, Inc.|2019-06-23
Airborne, Inc.|2019-06-23
Airgas, Inc.|2019-06-23
AK Steel Holding Corporation|2019-06-23
Alaska Air Group, Inc.|2019-06-23
Alberto-Culver Company|2019-06-23
Albertson's, Inc.|2019-06-23
Alcoa Inc.|2019-06-23
Alleghany Corporation|2019-06-23
Allegheny Energy, Inc.|2019-06-23
Allegheny Technologies Incorporated|2019-06-23
Allergan, Inc.|2019-06-23
ALLETE, Inc.|2019-06-23
Alliant Energy Corporation|2019-06-23
Allied Waste Industries, Inc.|2019-06-23
Allmerica Financial Corporation|2019-06-23
The Allstate Corporation|2019-06-23
ALLTEL Corporation|2019-06-23
The Alpine Group, Inc.|2019-06-23
Amazon.com, Inc.|2019-06-23
AMC Entertainment Inc.|2019-06-23
American Power Conversion Corporation|2019-06-23
Amerada Hess Corporation|2019-06-23
AMERCO|2019-06-23
Ameren Corporation|2019-06-23
America West Holdings Corporation|2019-06-23
American Axle & Manufacturing Holdings, Inc.|2019-06-23
American Eagle Outfitters, Inc.|2019-06-23
American Electric Power Company, Inc.|2019-06-23
American Express Company|2019-06-23
American Financial Group, Inc.|2019-06-23
American Greetings Corporation|2019-06-23
American International Group, Inc.|2019-06-23
American Standard Companies Inc.|2019-06-23
American Water Works Company, Inc.|2019-06-23
AmerisourceBergen Corporation|2019-06-23
Ames Department Stores, Inc.|2019-06-23
Amgen Inc.|2019-06-23
Amkor Technology, Inc.|2019-06-23
AMR Corporation|2019-06-23
AmSouth Bancorp.|2019-06-23
Amtran, Inc.|2019-06-23
Anadarko Petroleum Corporation|2019-06-23
Analog Devices, Inc.|2019-06-23
Anheuser-Busch Companies, Inc.|2019-06-23
