ZipCode|ZipCodeType|City|State|Lattitude|Longitude|Location
00501|Unique|Holtsville|NY|40.81|-73.04|NA-US-NY-HOLTSVILLE
00544|Unique|Holtsville|NY|40.81|-73.04|NA-US-NY-HOLTSVILLE
00601|Standard|Adjuntas|PR|18.16|-66.72|NA-US-PR-ADJUNTAS
00602|Standard|Aguada|PR|18.38|-67.18|NA-US-PR-AGUADA
00603|Standard|Aguadilla|PR|18.43|-67.15|NA-US-PR-AGUADILLA
00604|PO Box|Aguadilla|PR|18.43|-67.15|NA-US-PR-AGUADILLA
00605|PO Box|Aguadilla|PR|18.43|-67.15|NA-US-PR-AGUADILLA
00606|Standard|Maricao|PR|18.18|-66.98|NA-US-PR-MARICAO
00610|Standard|Anasco|PR|18.28|-67.14|NA-US-PR-ANASCO
00611|PO Box|Angeles|PR|18.28|-66.79|NA-US-PR-ANGELES
00612|Standard|Arecibo|PR|18.45|-66.73|NA-US-PR-ARECIBO
00613|PO Box|Arecibo|PR|18.45|-66.73|NA-US-PR-ARECIBO
00614|PO Box|Arecibo|PR|18.45|-66.73|NA-US-PR-ARECIBO
00616|Standard|Bajadero|PR|18.40|-66.66|NA-US-PR-BAJADERO
00617|Standard|Barceloneta|PR|18.45|-66.53|NA-US-PR-BARCELONETA
00622|Standard|Boqueron|PR|17.99|-67.15|NA-US-PR-BOQUERON
00623|Standard|Cabo Rojo|PR|18.08|-67.14|NA-US-PR-CABO ROJO
00624|Standard|Penuelas|PR|18.06|-66.72|NA-US-PR-PENUELAS
00627|Standard|Camuy|PR|18.48|-66.84|NA-US-PR-CAMUY
00631|PO Box|Castaner|PR|18.19|-66.82|NA-US-PR-CASTANER
00636|PO Box|Rosario|PR|18.15|-67.06|NA-US-PR-ROSARIO
00637|Standard|Sabana Grande|PR|18.08|-66.96|NA-US-PR-SABANA GRANDE
00638|Standard|Ciales|PR|18.33|-66.47|NA-US-PR-CIALES
00641|Standard|Utuado|PR|18.27|-66.70|NA-US-PR-UTUADO
00646|Standard|Dorado|PR|18.47|-66.27|NA-US-PR-DORADO
00647|Standard|Ensenada|PR|17.96|-66.94|NA-US-PR-ENSENADA
00650|Standard|Florida|PR|18.36|-66.56|NA-US-PR-FLORIDA
00652|Standard|Garrochales|PR|18.45|-66.60|NA-US-PR-GARROCHALES
00653|Standard|Guanica|PR|17.97|-66.93|NA-US-PR-GUANICA
00656|Standard|Guayanilla|PR|18.02|-66.79|NA-US-PR-GUAYANILLA
00659|Standard|Hatillo|PR|18.48|-66.82|NA-US-PR-HATILLO
00660|Standard|Hormigueros|PR|18.14|-67.12|NA-US-PR-HORMIGUEROS
00662|Standard|Isabela|PR|18.50|-67.02|NA-US-PR-ISABELA
00664|Standard|Jayuya|PR|18.22|-66.59|NA-US-PR-JAYUYA
00667|Standard|Lajas|PR|18.04|-67.06|NA-US-PR-LAJAS
00669|Standard|Lares|PR|18.29|-66.88|NA-US-PR-LARES
00670|Standard|Las Marias|PR|18.27|-67.06|NA-US-PR-LAS MARIAS
00674|Standard|Manati|PR|18.43|-66.48|NA-US-PR-MANATI
00676|Standard|Moca|PR|18.39|-67.11|NA-US-PR-MOCA
00677|Standard|Rincon|PR|18.34|-67.25|NA-US-PR-RINCON
00678|Standard|Quebradillas|PR|18.47|-66.93|NA-US-PR-QUEBRADILLAS
00680|Standard|Mayaguez|PR|18.20|-67.14|NA-US-PR-MAYAGUEZ
00681|PO Box|Mayaguez|PR|18.20|-67.14|NA-US-PR-MAYAGUEZ
00682|Standard|Mayaguez|PR|18.20|-67.14|NA-US-PR-MAYAGUEZ
00683|Standard|San German|PR|18.08|-67.04|NA-US-PR-SAN GERMAN
00685|Standard|San Sebastian|PR|18.33|-66.99|NA-US-PR-SAN SEBASTIAN
00687|Standard|Morovis|PR|18.32|-66.40|NA-US-PR-MOROVIS
00688|Standard|Sabana Hoyos|PR|18.38|-66.62|NA-US-PR-SABANA HOYOS
00690|Standard|San Antonio|PR|18.49|-67.09|NA-US-PR-SAN ANTONIO
00692|Standard|Vega Alta|PR|18.41|-66.32|NA-US-PR-VEGA ALTA
00693|Standard|Vega Baja|PR|18.44|-66.39|NA-US-PR-VEGA BAJA
00694|PO Box|Vega Baja|PR|18.44|-66.39|NA-US-PR-VEGA BAJA
00698|Standard|Yauco|PR|18.03|-66.86|NA-US-PR-YAUCO
00703|Standard|Aguas Buenas|PR|18.25|-66.10|NA-US-PR-AGUAS BUENAS
00704|Standard|Aguirre|PR|17.96|-66.22|NA-US-PR-AGUIRRE
00705|Standard|Aibonito|PR|18.14|-66.26|NA-US-PR-AIBONITO
00707|Standard|Maunabo|PR|18.00|-65.90|NA-US-PR-MAUNABO
00714|Standard|Arroyo|PR|17.97|-66.06|NA-US-PR-ARROYO
00715|Standard|Mercedita|PR|18.00|-66.56|NA-US-PR-MERCEDITA
00716|Standard|Ponce|PR|17.98|-66.60|NA-US-PR-PONCE
00717|Standard|Ponce|PR|17.98|-66.60|NA-US-PR-PONCE
00718|Standard|Naguabo|PR|18.21|-65.73|NA-US-PR-NAGUABO
00719|Standard|Naranjito|PR|18.30|-66.24|NA-US-PR-NARANJITO
00720|Standard|Orocovis|PR|18.22|-66.39|NA-US-PR-OROCOVIS
00721|PO Box|Palmer|PR|18.37|-65.77|NA-US-PR-PALMER
00723|Standard|Patillas|PR|18.00|-66.01|NA-US-PR-PATILLAS
00725|Standard|Caguas|PR|18.23|-66.03|NA-US-PR-CAGUAS
00726|PO Box|Caguas|PR|18.23|-66.03|NA-US-PR-CAGUAS
00727|Standard|Caguas|PR|18.23|-66.03|NA-US-PR-CAGUAS
00728|Standard|Ponce|PR|17.98|-66.60|NA-US-PR-PONCE
00729|Standard|Canovanas|PR|18.37|-65.90|NA-US-PR-CANOVANAS
00730|Standard|Ponce|PR|17.98|-66.60|NA-US-PR-PONCE
00731|Standard|Ponce|PR|17.98|-66.60|NA-US-PR-PONCE
00732|PO Box|Ponce|PR|17.98|-66.60|NA-US-PR-PONCE
00733|PO Box|Ponce|PR|17.98|-66.60|NA-US-PR-PONCE
00734|PO Box|Ponce|PR|17.98|-66.60|NA-US-PR-PONCE
00735|Standard|Ceiba|PR|18.26|-65.64|NA-US-PR-CEIBA
00736|Standard|Cayey|PR|18.11|-66.16|NA-US-PR-CAYEY
00737|PO Box|Cayey|PR|18.11|-66.16|NA-US-PR-CAYEY
00738|Standard|Fajardo|PR|18.33|-65.65|NA-US-PR-FAJARDO
00739|Standard|Cidra|PR|18.17|-66.15|NA-US-PR-CIDRA
00740|Standard|Puerto Real|PR|18.33|-65.63|NA-US-PR-PUERTO REAL
00741|Standard|Punta Santiago|PR|18.15|-65.76|NA-US-PR-PUNTA SANTIAGO
00742|PO Box|Roosevelt Roads|PR|18.27|-65.65|NA-US-PR-ROOSEVELT ROADS
00744|PO Box|Rio Blanco|PR|18.22|-65.79|NA-US-PR-RIO BLANCO
00745|Standard|Rio Grande|PR|18.38|-65.83|NA-US-PR-RIO GRANDE
00751|Standard|Salinas|PR|17.97|-66.29|NA-US-PR-SALINAS
00754|Standard|San Lorenzo|PR|18.19|-65.96|NA-US-PR-SAN LORENZO
