DateOfBirth|DateOfBirthDate|Age
4/10/2000|2000-04-10|18
5/20/2017|2017-05-20|1
8/18/1934|1934-08-18|84
9/24/1969|1969-09-24|49
2/11/1961|1961-02-11|57
3/26/1936|1936-03-26|82
2/7/1961|1961-02-07|57
3/1/1992|1992-03-01|26
7/11/1956|1956-07-11|62
11/22/1956|1956-11-22|62
2/24/1999|1999-02-24|19
4/16/1944|1944-04-16|74
4/23/1937|1937-04-23|81
8/20/1960|1960-08-20|58
2/1/1964|1964-02-01|54
5/10/1974|1974-05-10|44
11/17/1949|1949-11-17|69
7/15/1973|1973-07-15|45
2/3/2009|2009-02-03|9
9/23/1957|1957-09-23|61
9/21/1958|1958-09-21|60
8/18/2005|2005-08-18|13
3/26/2014|2014-03-26|4
12/28/2005|2005-12-28|13
1/14/1940|1940-01-14|78
4/2/1984|1984-04-02|34
10/6/2017|2017-10-06|1
1/30/1936|1936-01-30|82
4/17/1948|1948-04-17|70
3/6/1963|1963-03-06|55
10/17/1970|1970-10-17|48
1/28/2016|2016-01-28|2
7/16/2011|2011-07-16|7
7/6/1972|1972-07-06|46
5/28/1972|1972-05-28|46
5/17/1986|1986-05-17|32
4/28/1936|1936-04-28|82
4/20/1984|1984-04-20|34
8/11/1995|1995-08-11|23
8/30/2017|2017-08-30|1
6/7/1989|1989-06-07|29
2/27/1963|1963-02-27|55
9/24/1978|1978-09-24|40
7/8/1978|1978-07-08|40
7/23/2016|2016-07-23|2
7/28/1937|1937-07-28|81
4/27/1935|1935-04-27|83
5/15/1968|1968-05-15|50
5/24/1986|1986-05-24|32
3/26/1954|1954-03-26|64
6/27/1947|1947-06-27|71
10/28/1950|1950-10-28|68
4/9/1993|1993-04-09|25
7/19/1980|1980-07-19|38
6/23/2014|2014-06-23|4
8/21/1989|1989-08-21|29
9/4/2011|2011-09-04|7
12/9/1969|1969-12-09|49
3/1/1937|1937-03-01|81
9/22/1996|1996-09-22|22
4/15/1949|1949-04-15|69
5/2/2013|2013-05-02|5
10/24/1961|1961-10-24|57
5/9/2002|2002-05-09|16
6/24/1986|1986-06-24|32
6/27/1959|1959-06-27|59
12/23/1992|1992-12-23|26
5/16/1942|1942-05-16|76
9/15/1997|1997-09-15|21
2/15/1987|1987-02-15|31
12/17/2010|2010-12-17|8
5/8/1979|1979-05-08|39
1/4/1943|1943-01-04|75
4/25/1992|1992-04-25|26
2/10/2009|2009-02-10|9
10/15/2002|2002-10-15|16
9/23/1974|1974-09-23|44
1/24/1942|1942-01-24|76
2/26/2017|2017-02-26|1
3/20/2015|2015-03-20|3
9/19/1981|1981-09-19|37
11/11/1951|1951-11-11|67
1/4/1997|1997-01-04|21
3/14/1979|1979-03-14|39
1/19/1999|1999-01-19|19
3/8/2008|2008-03-08|10
12/28/1947|1947-12-28|71
2/12/1933|1933-02-12|85
10/28/1997|1997-10-28|21
7/9/1997|1997-07-09|21
2/22/1959|1959-02-22|59
2/18/1974|1974-02-18|44
9/6/1953|1953-09-06|65
1/22/2015|2015-01-22|3
12/17/1966|1966-12-17|52
4/2/1961|1961-04-02|57
2/24/1945|1945-02-24|73
10/8/1992|1992-10-08|26
7/17/1993|1993-07-17|25
6/4/1950|1950-06-04|68
12/16/1970|1970-12-16|48
3/1/2002|2002-03-01|16
4/26/1988|1988-04-26|30
8/16/2016|2016-08-16|2
3/27/1936|1936-03-27|82
8/7/1950|1950-08-07|68
6/14/2005|2005-06-14|13
8/14/2008|2008-08-14|10
8/11/1967|1967-08-11|51
10/18/1979|1979-10-18|39
1/7/1941|1941-01-07|77
7/3/1939|1939-07-03|79
7/22/1949|1949-07-22|69
9/2/1977|1977-09-02|41
2/13/1947|1947-02-13|71
8/18/1963|1963-08-18|55
6/28/1965|1965-06-28|53
5/1/1960|1960-05-01|58
7/12/1987|1987-07-12|31
5/19/1939|1939-05-19|79
2/14/1989|1989-02-14|29
11/19/1957|1957-11-19|61
12/21/1957|1957-12-21|61
1/1/2001|2001-01-01|17
4/22/1975|1975-04-22|43
9/14/1969|1969-09-14|49
1/29/1933|1933-01-29|85
2/8/1998|1998-02-08|20
10/21/1985|1985-10-21|33
6/28/1950|1950-06-28|68
2/5/1992|1992-02-05|26
11/17/1940|1940-11-17|78
11/9/1978|1978-11-09|40
1/21/2003|2003-01-21|15
8/15/2009|2009-08-15|9
10/1/2011|2011-10-01|7
3/26/1956|1956-03-26|62
1/11/2010|2010-01-11|8
11/28/1989|1989-11-28|29
9/4/1952|1952-09-04|66
2/15/2013|2013-02-15|5
2/25/1994|1994-02-25|24
5/15/2006|2006-05-15|12
11/24/1947|1947-11-24|71
3/30/1948|1948-03-30|70
11/17/1955|1955-11-17|63
9/28/2001|2001-09-28|17
12/7/1988|1988-12-07|30
10/2/1942|1942-10-02|76
6/28/2001|2001-06-28|17
4/7/1986|1986-04-07|32
11/29/1947|1947-11-29|71
3/15/1946|1946-03-15|72
1/13/1982|1982-01-13|36
2/9/1980|1980-02-09|38
9/27/1935|1935-09-27|83
5/1/1965|1965-05-01|53
6/29/1965|1965-06-29|53
4/5/1946|1946-04-05|72
8/10/1959|1959-08-10|59
1/30/2004|2004-01-30|14
7/18/1975|1975-07-18|43
1/9/1985|1985-01-09|33
2/19/2017|2017-02-19|1
3/20/1940|1940-03-20|78
2/23/1977|1977-02-23|41
1/2/2009|2009-01-02|9
5/1/1946|1946-05-01|72
4/26/2012|2012-04-26|6
1/18/1952|1952-01-18|66
